_year,fips_code,prevalence,n,threshold
2019,06073,0.5471698113207547,265,0.001
2019,06075,0.5945205479452055,365,0.001
2019,12086,0.7616438356164383,365,0.001
2019,12095,0.5506849315068493,365,0.001
2019,13121,0.6438356164383562,365,0.001
2019,17031,0.14246575342465753,365,0.001
2019,25025,0.09041095890410959,365,0.001
2019,36061,0.0,365,0.001
2019,48029,0.3041095890410959,365,0.001
2019,48201,0.589041095890411,365,0.001
2019,51059,0.0,365,0.001
2019,53033,0.4191780821917808,365,0.001
2020,06073,0.5746031746031746,315,0.001
2020,06075,0.5273224043715847,366,0.001
2020,12086,0.773224043715847,366,0.001
2020,12095,0.6120218579234973,366,0.001
2020,13121,0.6830601092896175,366,0.001
2020,17031,0.15027322404371585,366,0.001
2020,25025,0.16666666666666666,366,0.001
2020,36061,0.00273224043715847,366,0.001
2020,48029,0.3005464480874317,366,0.001
2020,48201,0.644808743169399,366,0.001
2020,51059,0.06557377049180328,366,0.001
2020,53033,0.40710382513661203,366,0.001
2021,06073,0.6504559270516718,329,0.001
2021,06075,0.5835616438356165,365,0.001
2021,12086,0.7643835616438356,365,0.001
2021,12095,0.5643835616438356,365,0.001
2021,13121,0.6219178082191781,365,0.001
2021,17031,0.16164383561643836,365,0.001
2021,25025,0.136986301369863,365,0.001
2021,36061,0.010958904109589041,365,0.001
2021,48029,0.4,365,0.001
2021,48201,0.336986301369863,365,0.001
2021,51059,0.3863013698630137,365,0.001
2021,53033,0.46301369863013697,365,0.001
2022,06073,0.6134969325153374,326,0.001
2022,06075,0.5397260273972603,365,0.001
2022,12086,0.7863013698630137,365,0.001
2022,12095,0.5917808219178082,365,0.001
2022,13121,0.6876712328767123,365,0.001
2022,17031,0.09315068493150686,365,0.001
2022,25025,0.1506849315068493,365,0.001
2022,36061,0.005479452054794521,365,0.001
2022,48029,0.34794520547945207,365,0.001
2022,48201,0.28493150684931506,365,0.001
2022,51059,0.38904109589041097,365,0.001
2022,53033,0.46301369863013697,365,0.001
2023,06073,0.5882352941176471,289,0.001
2023,06075,0.673972602739726,365,0.001
2023,12086,0.7753424657534247,365,0.001
2023,12095,0.5150684931506849,365,0.001
2023,13121,0.6328767123287671,365,0.001
2023,17031,0.10684931506849316,365,0.001
2023,25025,0.16164383561643836,365,0.001
2023,36061,0.0027397260273972603,365,0.001
2023,48029,0.32054794520547947,365,0.001
2023,48201,0.4520547945205479,365,0.001
2023,51059,0.3780821917808219,365,0.001
2023,53033,0.44931506849315067,365,0.001
2024,06073,0.5574229691876751,357,0.001
2024,06075,0.7103825136612022,366,0.001
2024,12086,0.7295081967213115,366,0.001
2024,12095,0.5191256830601093,366,0.001
2024,13121,0.674863387978142,366,0.001
2024,17031,0.10655737704918032,366,0.001
2024,25025,0.12295081967213115,366,0.001
2024,36061,0.00273224043715847,366,0.001
2024,48029,0.3469945355191257,366,0.001
2024,48201,0.6612021857923497,366,0.001
2024,51059,0.3797814207650273,366,0.001
2024,53033,0.4426229508196721,366,0.001
2019,06073,0.06037735849056604,265,0.005
2019,06075,0.19726027397260273,365,0.005
2019,12086,0.07945205479452055,365,0.005
2019,12095,0.18356164383561643,365,0.005
2019,13121,0.27945205479452057,365,0.005
2019,17031,0.00821917808219178,365,0.005
2019,25025,0.005479452054794521,365,0.005
2019,36061,0.0,365,0.005
2019,48029,0.06575342465753424,365,0.005
2019,48201,0.07945205479452055,365,0.005
2019,51059,0.0,365,0.005
2019,53033,0.10136986301369863,365,0.005
2020,06073,0.0761904761904762,315,0.005
2020,06075,0.16666666666666666,366,0.005
2020,12086,0.09016393442622951,366,0.005
2020,12095,0.1994535519125683,366,0.005
2020,13121,0.29508196721311475,366,0.005
2020,17031,0.0273224043715847,366,0.005
2020,25025,0.00546448087431694,366,0.005
2020,36061,0.00273224043715847,366,0.005
2020,48029,0.0546448087431694,366,0.005
2020,48201,0.06557377049180328,366,0.005
2020,51059,0.00819672131147541,366,0.005
2020,53033,0.09836065573770492,366,0.005
2021,06073,0.04559270516717325,329,0.005
2021,06075,0.20273972602739726,365,0.005
2021,12086,0.09041095890410959,365,0.005
2021,12095,0.21095890410958903,365,0.005
2021,13121,0.2219178082191781,365,0.005
2021,17031,0.03287671232876712,365,0.005
2021,25025,0.005479452054794521,365,0.005
2021,36061,0.0,365,0.005
2021,48029,0.07945205479452055,365,0.005
2021,48201,0.04657534246575343,365,0.005
2021,51059,0.13424657534246576,365,0.005
2021,53033,0.1232876712328767,365,0.005
2022,06073,0.0705521472392638,326,0.005
2022,06075,0.1589041095890411,365,0.005
2022,12086,0.09041095890410959,365,0.005
2022,12095,0.20821917808219179,365,0.005
2022,13121,0.2876712328767123,365,0.005
2022,17031,0.01643835616438356,365,0.005
2022,25025,0.019178082191780823,365,0.005
2022,36061,0.0,365,0.005
2022,48029,0.06575342465753424,365,0.005
2022,48201,0.0273972602739726,365,0.005
2022,51059,0.1232876712328767,365,0.005
2022,53033,0.10136986301369863,365,0.005
2023,06073,0.04498269896193772,289,0.005
2023,06075,0.20273972602739726,365,0.005
2023,12086,0.1095890410958904,365,0.005
2023,12095,0.1643835616438356,365,0.005
2023,13121,0.2547945205479452,365,0.005
2023,17031,0.019178082191780823,365,0.005
2023,25025,0.01643835616438356,365,0.005
2023,36061,0.0,365,0.005
2023,48029,0.057534246575342465,365,0.005
2023,48201,0.057534246575342465,365,0.005
2023,51059,0.10136986301369863,365,0.005
2023,53033,0.10684931506849316,365,0.005
2024,06073,0.036414565826330535,357,0.005
2024,06075,0.19672131147540983,366,0.005
2024,12086,0.08469945355191257,366,0.005
2024,12095,0.14207650273224043,366,0.005
2024,13121,0.27595628415300544,366,0.005
2024,17031,0.02459016393442623,366,0.005
2024,25025,0.00819672131147541,366,0.005
2024,36061,0.0,366,0.005
2024,48029,0.060109289617486336,366,0.005
2024,48201,0.12295081967213115,366,0.005
2024,51059,0.1284153005464481,366,0.005
2024,53033,0.16666666666666666,366,0.005
2019,06073,0.022641509433962263,265,0.01
2019,06075,0.13424657534246576,365,0.01
2019,12086,0.021917808219178082,365,0.01
2019,12095,0.04657534246575343,365,0.01
2019,13121,0.10410958904109589,365,0.01
2019,17031,0.0,365,0.01
2019,25025,0.0,365,0.01
2019,36061,0.0,365,0.01
2019,48029,0.019178082191780823,365,0.01
2019,48201,0.019178082191780823,365,0.01
2019,51059,0.0,365,0.01
2019,53033,0.03287671232876712,365,0.01
2020,06073,0.0380952380952381,315,0.01
