fips_code,_year,prevalence,n,majority_acc,auroc_baseline,auprc_baseline,threshold
06073,2019,0.5471698113207547,265,0.5471698113207547,0.5,0.5471698113207547,0.001
06073,2020,0.5746031746031746,315,0.5746031746031746,0.5,0.5746031746031746,0.001
06073,2021,0.6504559270516718,329,0.6504559270516718,0.5,0.6504559270516718,0.001
06073,2022,0.6134969325153374,326,0.6134969325153374,0.5,0.6134969325153374,0.001
06073,2023,0.5882352941176471,289,0.5882352941176471,0.5,0.5882352941176471,0.001
06073,2024,0.5574229691876751,357,0.5574229691876751,0.5,0.5574229691876751,0.001
06075,2019,0.5945205479452055,365,0.5945205479452055,0.5,0.5945205479452055,0.001
06075,2020,0.5273224043715847,366,0.5273224043715847,0.5,0.5273224043715847,0.001
06075,2021,0.5835616438356165,365,0.5835616438356165,0.5,0.5835616438356165,0.001
06075,2022,0.5397260273972603,365,0.5397260273972603,0.5,0.5397260273972603,0.001
06075,2023,0.673972602739726,365,0.673972602739726,0.5,0.673972602739726,0.001
06075,2024,0.7103825136612022,366,0.7103825136612022,0.5,0.7103825136612022,0.001
12086,2019,0.7616438356164383,365,0.7616438356164383,0.5,0.7616438356164383,0.001
12086,2020,0.773224043715847,366,0.773224043715847,0.5,0.773224043715847,0.001
12086,2021,0.7643835616438356,365,0.7643835616438356,0.5,0.7643835616438356,0.001
12086,2022,0.7863013698630137,365,0.7863013698630137,0.5,0.7863013698630137,0.001
12086,2023,0.7753424657534247,365,0.7753424657534247,0.5,0.7753424657534247,0.001
12086,2024,0.7295081967213115,366,0.7295081967213115,0.5,0.7295081967213115,0.001
12095,2019,0.5506849315068493,365,0.5506849315068493,0.5,0.5506849315068493,0.001
12095,2020,0.6120218579234973,366,0.6120218579234973,0.5,0.6120218579234973,0.001
12095,2021,0.5643835616438356,365,0.5643835616438356,0.5,0.5643835616438356,0.001
12095,2022,0.5917808219178082,365,0.5917808219178082,0.5,0.5917808219178082,0.001
12095,2023,0.5150684931506849,365,0.5150684931506849,0.5,0.5150684931506849,0.001
12095,2024,0.5191256830601093,366,0.5191256830601093,0.5,0.5191256830601093,0.001
13121,2019,0.6438356164383562,365,0.6438356164383562,0.5,0.6438356164383562,0.001
13121,2020,0.6830601092896175,366,0.6830601092896175,0.5,0.6830601092896175,0.001
13121,2021,0.6219178082191781,365,0.6219178082191781,0.5,0.6219178082191781,0.001
13121,2022,0.6876712328767123,365,0.6876712328767123,0.5,0.6876712328767123,0.001
13121,2023,0.6328767123287671,365,0.6328767123287671,0.5,0.6328767123287671,0.001
13121,2024,0.674863387978142,366,0.674863387978142,0.5,0.674863387978142,0.001
17031,2019,0.14246575342465753,365,0.8575342465753425,0.5,0.14246575342465753,0.001
17031,2020,0.15027322404371585,366,0.8497267759562841,0.5,0.15027322404371585,0.001
17031,2021,0.16164383561643836,365,0.8383561643835616,0.5,0.16164383561643836,0.001
17031,2022,0.09315068493150686,365,0.9068493150684931,0.5,0.09315068493150686,0.001
17031,2023,0.10684931506849316,365,0.8931506849315068,0.5,0.10684931506849316,0.001
17031,2024,0.10655737704918032,366,0.8934426229508197,0.5,0.10655737704918032,0.001
25025,2019,0.09041095890410959,365,0.9095890410958904,0.5,0.09041095890410959,0.001
25025,2020,0.16666666666666666,366,0.8333333333333334,0.5,0.16666666666666666,0.001
25025,2021,0.136986301369863,365,0.863013698630137,0.5,0.136986301369863,0.001
25025,2022,0.1506849315068493,365,0.8493150684931507,0.5,0.1506849315068493,0.001
25025,2023,0.16164383561643836,365,0.8383561643835616,0.5,0.16164383561643836,0.001
25025,2024,0.12295081967213115,366,0.8770491803278688,0.5,0.12295081967213115,0.001
36061,2019,0.0,365,1.0,,0.0,0.001
36061,2020,0.00273224043715847,366,0.9972677595628415,0.5,0.00273224043715847,0.001
36061,2021,0.010958904109589041,365,0.989041095890411,0.5,0.010958904109589041,0.001
