day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
2023-01-01,0.6333333333333333,103.3,5.366666666666667,0.09047619047619045,4.0,7.2,1.0,,,,,,,
2023-01-02,2.533333333333333,1.7,3.4799999999999995,-1.9150000000000003,8.1,10.7,1.0,1.0,,,,,,
2023-01-03,2.1333333333333333,25.2,4.01,-0.905,6.7,11.6,,,,,,,,
2023-01-04,4.3,26.3,5.228571428571429,-0.4428571428571428,12.5,19.2,,,,,,,,
2023-01-05,5.8,40.6,8.245000000000001,3.285,14.3,21.9,,,,,,,,
2023-01-06,2.3000000000000003,122.89999999999999,7.465000000000001,1.7449999999999999,7.2,11.2,,,,,,,,
2023-01-07,1.5333333333333332,285.2,5.9,2.4850000000000003,5.8,8.1,1.0,,,,,,,
2023-01-08,2.1999999999999997,346.09999999999997,6.233333333333333,1.9952380952380953,10.7,15.7,1.0,,,,,,,
2023-01-09,3.9,431.8,7.39047619047619,1.9571428571428573,16.5,26.4,1.0,,,,,,1.0,
2023-01-10,2.6,634.0,7.814285714285714,2.4904761904761905,7.6,11.6,,,,,,,,
2023-01-11,3.0,64.9,7.445,2.93,7.6,12.1,,,,,,,,
2023-01-12,3.5,896.9,7.942857142857143,3.9809523809523806,9.4,13.0,1.0,,,,,,,
2023-01-13,2.3666666666666667,638.6999999999999,8.41,4.5,7.2,11.2,1.0,,,,,,1.0,
2023-01-14,2.5666666666666664,376.5,9.05,3.405,8.9,13.0,1.0,1.0,,,,,,
2023-01-15,2.3000000000000003,227.9,6.747619047619047,2.6142857142857143,8.9,12.5,1.0,,,,,,,
2023-01-16,2.6333333333333333,456.7,6.233333333333333,1.5,7.2,9.4,,,,,,,,
2023-01-17,3.3000000000000003,83.6,5.3149999999999995,1.42,6.7,10.7,1.0,,,,,,,
2023-01-18,3.1999999999999997,485.4,4.60952380952381,0.585,8.9,13.0,1.0,,,,,,,
2023-01-19,1.3,626.4,3.4142857142857146,-1.2523809523809524,5.4,8.1,1.0,,,,,,,
2023-01-20,1.0333333333333334,9.2,4.690476190476191,-1.7476190476190478,4.0,5.8,1.0,,,,,,,
2023-01-21,2.5666666666666664,224.5,3.4285714285714284,-1.4142857142857141,12.5,17.4,1.0,1.0,,,,,1.0,
2023-01-22,1.0333333333333334,410.9,3.0428571428571427,-1.2857142857142858,3.6,4.9,1.0,1.0,,,,,1.0,
2023-01-23,1.0333333333333334,28.3,3.9850000000000003,-0.975,4.5,5.8,,,,,,,1.0,
2023-01-24,1.9666666666666668,39.0,3.7047619047619045,0.21904761904761902,5.4,7.6,1.0,,,,,,1.0,
2023-01-25,1.2333333333333334,78.7,5.266666666666667,1.638095238095238,4.0,6.3,1.0,,,,,,,
2023-01-26,1.9333333333333333,42.3,5.625,0.915,6.3,9.4,1.0,,,,,,1.0,
2023-01-27,1.7,649.6,5.038095238095238,2.033333333333333,6.3,8.1,1.0,,,,,,,
2023-01-28,1.8,115.0,4.061904761904762,-1.9904761904761903,8.9,11.6,1.0,,,,,,,
2023-01-29,1.4333333333333333,18.9,-0.2450000000000001,-6.58,5.4,7.2,,,,,,,,
2023-01-30,1.1666666666666667,10.9,1.4666666666666666,-7.438888888888889,4.5,8.5,,,,,,,,
2023-01-31,0.8666666666666666,9.799999999999999,2.5944444444444446,-4.078947368421052,4.5,5.8,1.0,,,,,,,
2023-02-01,1.2666666666666666,14.2,5.78421052631579,-1.963157894736842,5.4,8.5,,,,,,,,
2023-02-02,2.3333333333333335,0.0,8.447368421052632,-0.531578947368421,6.3,7.6,,,,,,,,
2023-02-03,3.8000000000000003,55.099999999999994,7.85,0.7849999999999999,14.3,20.6,1.0,,,,,,,
2023-02-04,2.5,437.9,6.904999999999999,2.6399999999999997,8.1,10.7,1.0,,,,,,,
2023-02-05,2.1333333333333333,363.1,5.55,2.35,9.4,12.5,1.0,,,,,,,
2023-02-06,5.133333333333334,386.9,4.995,2.01,9.4,13.9,1.0,,,,,,,
2023-02-07,5.033333333333333,537.2,5.525,1.5699999999999998,9.8,16.1,1.0,,,,,,,
2023-02-08,2.3333333333333335,295.1,5.3950000000000005,0.5599999999999999,7.6,9.4,,,,,,,,
2023-02-09,1.7666666666666666,15.0,7.995,1.7349999999999999,8.1,12.5,,,,,,,,
2023-02-10,3.0666666666666664,219.89999999999998,7.07,2.3,7.6,10.3,,,,,,,,
2023-02-11,2.1,20.5,6.18,-0.5449999999999999,6.3,8.9,1.0,,,,,,,
2023-02-12,3.233333333333333,47.0,8.252631578947367,-0.5421052631578948,10.3,14.8,1.0,,,,,,,
2023-02-13,4.3,567.9,5.7,-1.3800000000000001,10.3,14.8,1.0,,1.0,,1.0,,,
2023-02-14,1.9000000000000001,415.09999999999997,2.45,-3.375,7.6,10.3,1.0,,,,,,,
2023-02-15,1.9333333333333333,3.8,3.775,-4.205,5.4,9.4,,,,,,,,
2023-02-16,1.9333333333333333,15.9,4.795,-2.09,4.5,8.5,,,,,,,,
2023-02-17,1.9000000000000001,334.7,3.94,0.15000000000000008,5.8,8.1,1.0,,,,,,,
2023-02-18,2.8000000000000003,252.79999999999998,4.32,0.93,7.6,10.3,1.0,,,,,,1.0,
2023-02-19,3.5,402.9,4.715,1.64,8.1,13.4,1.0,,,,,,1.0,
2023-02-20,6.7,825.0,5.542105263157895,2.1473684210526316,13.9,20.1,1.0,,,,,,1.0,
2023-02-21,3.6333333333333333,486.3,3.94,-0.7449999999999999,10.7,16.1,1.0,,,,,,,
2023-02-22,4.266666666666667,274.3,0.7105263157894737,-6.42,10.7,14.8,1.0,,,,,,,
2023-02-23,4.433333333333334,29.5,-3.62,-9.24,11.2,16.1,,,,,,,1.0,
2023-02-24,3.1666666666666665,16.2,0.168421052631579,-9.06842105263158,7.2,9.8,,,,,,,,
2023-02-25,1.9666666666666668,6.1,4.552631578947368,-6.252631578947368,12.5,17.4,1.0,,,,,,,
2023-02-26,3.966666666666667,544.2,3.384210526315789,-2.6684210526315786,10.7,15.7,1.0,,,,,,,
2023-02-27,1.5666666666666667,92.0,1.7049999999999996,-3.53,6.3,9.8,1.0,,,,,,,
2023-02-28,3.2999999999999994,265.59999999999997,3.072222222222222,-3.433333333333333,9.4,14.3,1.0,1.0,,,,,,
2023-03-01,2.966666666666667,80.39999999999999,3.3421052631578947,-4.621052631578947,8.9,13.0,1.0,1.0,,,,,,
2023-03-02,5.033333333333333,386.2,4.027777777777778,-0.9833333333333333,13.0,20.1,1.0,,,,1.0,,,
2023-03-03,4.7,313.3,2.768421052631579,-1.2578947368421052,10.3,13.9,1.0,,,,,,1.0,
2023-03-04,2.6,554.5,2.977777777777778,-1.561111111111111,9.8,13.9,1.0,,,,,,1.0,
